name,has_scope1,version_stable1,has_description1,has_keywords1,last_release1,#maintainers1,#links1,#dependencies1,#releases_month1,#releases_3month1,#releases_6month1,#releases_year1,#releases_2year1,has_selective_files1,#downloads_day1,#downloads_week1,#downloads_month1,#downloads_3month1,#downloads_6month1,#downloads_year1,#dependents1,npm_stars1,has_github1,has_home1,gh_stars1,forks1,subscribers1,issues1,open_issues1,issues_disabled1,contributors1,commits_week1,commits_month1,commits_3month1,commits_6month1,commits_year1,#statuses1,is_open_sourse1,has_readme1,has_test1,has_changelog1,#badges1,#linters1,#coverage1,#outdated_deps1,description
@antv/data-set,1,0,1,1,1,4,4,15,0,5,14,19,19,0,0,2248,9202,23029,24389,24605,40,0,1,0,36,4,12,29,6,0,2,2,2,28,91,226,1,1,1,1,1,3,2,0.0,5,data set with state management
@antv/g,1,1,1,1,1,4,4,6,1,8,16,16,16,0,418,3265,10686,25066,26365,26365,1,0,1,0,37,16,15,26,6,0,5,2,4,24,39,102,1,1,1,1,1,3,2,0.0,2,A core module for rendering engine implements DOM API.
@atlaskit/avatar,1,1,1,1,1,1,3,6,6,13,36,66,73,1,1860,13355,56257,160713,313253,482024,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,An avatar is a visual representation of a user or entity.
@atlaskit/button,1,1,1,0,1,1,3,4,6,12,29,55,68,1,5396,30605,138008,427210,708062,873718,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0.0,0,A button triggers an event or action. They let users know what will happen next.
@atlaskit/dropdown-menu,1,1,1,1,1,1,3,9,5,7,16,55,62,1,1395,9248,40637,123380,238853,375192,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,A dropdown menu displays a list of actions or options to a user.
@atlaskit/droplist,1,1,1,1,1,1,3,11,7,9,13,46,64,1,2568,15175,66919,154233,274898,438610,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Droplist component
@atlaskit/field-text,1,1,1,1,1,1,3,3,3,6,11,31,42,1,951,7130,29360,78955,156716,246037,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,Field Text Component
@atlaskit/flag,1,1,1,1,1,1,3,8,7,16,24,52,59,1,806,6033,26045,59407,110238,156043,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,"A flag is used for confirmations, alerts, and acknowledgments that require minimal user interaction, often displayed using a flag group."
@atlaskit/icon,1,1,1,1,1,1,3,4,8,15,26,55,76,1,3654,27135,120617,395308,870918,1274911,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0.0,0,"An icon is a visual representation of a command, device, directory, or common action."
@atlaskit/inline-dialog,1,1,1,1,1,1,3,3,4,10,14,34,40,1,2650,15884,70306,164379,298816,412250,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,An inline dialog is a pop-up container for small amounts of information. It can also contain controls.
@atlaskit/inline-message,1,1,1,1,1,1,3,5,4,8,12,28,33,1,253,1754,7379,20275,41829,56140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,An inline message lets users know when important information is available or when an action is required.
@atlaskit/lozenge,1,1,1,0,1,1,3,3,3,4,12,25,34,1,2230,13166,57633,167798,304315,418112,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,A lozenge is a visual indicator used to highlight an item's status for quick recognition.
@atlaskit/modal-dialog,1,1,1,1,1,1,3,11,7,21,33,54,68,1,1140,8206,34596,89725,162774,248504,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,"A modal dialog displays content that requires user interaction, in a layer above the page."
@atlaskit/multi-select,1,1,1,0,1,1,3,10,4,11,17,51,70,1,376,2114,9259,20828,44220,69449,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,React component which allows selection of multiple items from a dropdown list. Substitute for the native multiple select element
@atlaskit/spinner,1,1,1,0,1,1,3,4,3,8,15,37,41,1,3287,20207,86970,273894,570716,787990,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,A spinner is an animated spinning icon that lets users know content is being loaded.
@atlaskit/tabs,1,1,1,0,1,1,3,6,4,9,13,29,39,1,476,3354,13410,31152,63874,110312,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,1,Tabs are used to organize content by grouping similar information on the same page.
@atlaskit/theme,1,1,1,1,1,1,3,2,3,7,17,20,20,1,3596,21043,88488,241002,372561,381625,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,"Theme contains solutions for global theming, colors, typography and other useful mixins."
@atlaskit/tooltip,1,1,1,1,1,1,3,5,4,13,26,45,52,1,3158,19353,85921,253211,445903,565212,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0.0,0,"A tooltip is a floating, non-actionable label used to explain a user interface element or feature."
@atom/nsfw,1,1,1,1,1,15,4,5,1,1,4,4,4,1,44,218,1147,3195,5072,5072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,A simple file watcher for Node
@atom/source-map-support,1,0,1,0,1,15,4,1,1,1,1,4,4,0,42,203,1109,3025,7485,13638,0,0,1,0,0,1,2,0,0,1,29,0,0,0,0,4,0,1,1,1,0,1,0,0.0,1,Fixes stack traces for files with source maps
@ava/babel-preset-stage-4,1,1,1,1,1,3,4,12,2,5,5,6,8,1,0,54776,281785,742166,1440783,2334344,4,1,1,0,11,3,8,18,2,0,3,0,0,10,19,23,2,1,0,1,0,0,1,1.0,1,"Efficiently applies the minimum of transforms to run stage 4 code on Node.js 6, 8 and 10"
@ava/babel-preset-transform-test-files,1,1,1,1,1,3,4,2,2,4,4,5,9,1,0,52852,274777,719542,1406848,2280391,4,0,1,0,3,1,6,7,0,0,4,0,0,6,15,20,4,1,1,1,0,1,1,1.0,0,Babel preset for use with AVA test files
@ava/write-file-atomic,1,1,1,1,1,3,4,3,0,0,0,3,3,1,9670,53673,233564,590188,1055708,1238261,2,0,1,0,0,0,6,0,0,1,8,0,0,0,0,19,0,1,1,1,0,0,0,0.0,0,Write files in an atomic fashion w/configurable ownership
@babel/code-frame,1,1,1,0,1,6,4,1,1,6,14,14,14,0,178487,1038543,4282935,8662831,9741113,9741113,36,1,1,1,26470,2555,780,7568,575,0,100,21,102,259,736,1669,3,1,1,1,1,3,2,0.84,0,Generate errors that contain a code frame that point to source locations.
@babel/polyfill,1,1,1,0,1,5,4,2,2,9,9,9,9,0,7801,354883,689299,702444,702444,702444,30,0,1,1,25021,2355,746,7134,542,0,100,3,53,360,843,1887,3,1,1,1,1,3,2,0.84,0,Provides polyfills necessary for a full ES2015+ environment
@babel/preset-stage-0,1,1,1,0,1,6,4,2,4,9,13,13,13,0,130,3523,11626,23012,23404,23404,16,1,1,1,25675,2433,757,7314,565,0,100,18,73,240,756,1800,3,1,1,1,1,3,2,0.87,0,Babel preset for stage 0 plugins
@babel/traverse,1,1,1,0,1,6,4,10,1,6,14,14,14,0,113254,658920,2690759,5576740,6651048,6651048,42,0,1,1,26469,2555,780,7568,575,0,100,21,102,259,736,1669,3,1,1,1,1,3,2,0.84,0,"The Babel Traverse module maintains the overall tree state, and is responsible for replacing, removing, and adding nodes"
@babel/types,1,1,1,0,1,6,4,3,1,6,14,14,14,0,132383,769494,3150718,6483835,7604049,7604049,70,1,1,1,26470,2555,780,7568,575,0,100,21,102,259,736,1669,3,1,1,1,1,3,2,0.84,0,Babel Types is a Lodash-esque utility library for AST nodes
@concordance/react,1,1,1,1,1,1,4,1,0,0,0,5,5,1,0,31724,208718,599863,1093993,1313663,2,0,1,0,3,1,1,13,0,0,1,0,0,0,0,21,3,1,1,1,0,0,0,0.99,0,"Compare, format, diff and serialize React trees with Concordance"
@culli/dom,1,0,1,1,0,1,4,2,0,0,0,0,4,0,0,6,20,25,49,94,0,0,1,0,24,1,4,11,8,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0,Cycle Utilities for DOM manipulation
@datafire/google_fitness,1,1,1,0,1,1,4,1,0,2,3,6,9,0,0,8,28,98,187,374,0,0,1,0,42,10,5,13,6,0,3,0,9,23,52,165,1,1,1,1,0,1,0,0.0,0,DataFire integration for Fitness API
@derhuerst/location,1,1,1,1,1,1,4,1,0,0,2,5,5,1,0,8,34,96,214,404,3,0,1,1,20,1,1,5,0,0,2,0,0,0,9,11,1,1,1,1,0,3,1,0.0,0,Get your current location from the OS.
@elastic/datemath,1,1,1,0,1,24,4,1,0,4,8,8,17,0,0,1568,6497,21528,36881,53939,4,0,1,0,2,2,148,7,0,0,5,0,0,11,23,23,0,1,1,1,0,0,1,0.0,0,"elasticsearch datemath parser, used in kibana"
@elastic/eui,1,0,1,0,1,24,4,16,8,22,30,30,30,0,0,1208,4896,14353,17001,17001,0,0,1,1,126,38,130,534,93,0,37,38,96,259,470,665,0,1,1,1,1,0,2,0.0,2,Elastic UI Component Library
@elastic/filesaver,1,1,1,0,1,24,4,0,0,0,0,2,2,0,0,1193,5601,18465,29573,30949,0,0,1,1,0,0,1,1,0,1,21,0,0,0,0,1,0,1,1,0,0,0,0,0.0,0,https://github.com/eligrey/FileSaver.js
@elastic/numeral,1,1,1,0,1,24,4,0,0,0,3,6,6,0,0,1548,7234,22577,34206,35691,0,0,1,1,0,4,138,6,1,0,46,0,0,0,12,15,1,1,1,1,0,1,0,0.0,0,Fork of numeraljs for use in Kibana
@elastic/test-subj-selector,1,0,1,0,1,24,1,0,0,0,0,2,2,0,0,904,4325,16946,28341,29721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0,Convert a string from test subject syntax to css selectors.
@elastic/ui-ace,1,0,1,0,1,24,4,0,0,0,0,2,2,0,0,1186,5565,17869,28894,30280,0,0,1,1,574,169,33,185,90,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0,This directive allows you to add ACE editor elements.
@expo/react-native-action-sheet,1,1,1,1,1,12,4,2,1,1,3,7,7,1,386,10473,36937,97026,161691,210789,11,0,1,0,273,93,6,77,7,0,17,0,6,11,15,23,0,1,1,0,0,0,0,0.0,0,A cross-platform ActionSheet for React Native
@exponent/electron-cookies,1,1,1,0,0,2,4,2,0,0,0,0,5,0,93,500,2648,5573,9084,14901,2,0,1,0,8,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0,Provides document.cookie support for Electron
@feathersjs/commons,1,1,1,1,1,4,4,0,0,3,8,8,8,0,0,3268,19478,48123,55834,55834,24,0,1,0,10,9,8,68,0,0,9,0,0,9,33,36,1,1,1,1,1,3,1,0.0,0,Shared Feathers utility functions
@firebase/app,1,0,1,0,1,3,4,3,32,55,61,61,61,0,0,112029,432190,974995,1383347,1383347,5,1,1,1,958,124,116,564,112,0,34,8,31,98,198,256,1,1,0,1,0,0,1,0.0,0,The primary entrypoint to the Firebase JS SDK
@firebase/auth,1,0,1,0,1,3,4,1,30,51,58,58,58,1,0,65274,288824,686736,1033767,1033767,1,1,1,1,958,124,116,564,112,0,34,8,31,98,198,256,1,1,0,1,0,0,1,0.0,0,The Firebase Authenticaton component of the Firebase JS SDK.
@firebase/firestore,1,0,1,0,1,3,4,5,35,62,70,70,70,0,0,71110,310102,719550,1074940,1074940,1,2,1,1,958,124,116,564,112,0,34,8,31,98,198,256,1,1,0,1,1,0,1,0.0,0,The Cloud Firestore component of the Firebase JS SDK.
@glimmer/syntax,1,0,0,0,1,11,4,4,5,7,29,68,75,0,5277,34103,119061,309855,682139,1014848,10,0,1,0,816,105,80,791,77,0,80,1,64,109,273,639,1,1,0,1,1,0,1,0.0,0, 
@google-cloud/datastore,1,1,1,1,1,16,4,17,1,7,7,18,32,1,5283,25321,125028,326911,760276,1475956,50,3,1,1,18,5,7,67,11,0,18,3,5,30,36,76,10,1,1,1,0,2,1,1.0,0,Cloud Datastore Client Library for Node.js
@google-cloud/storage,1,1,1,1,1,16,4,21,0,3,8,13,26,1,0,148241,593729,1501448,3015234,4430944,108,6,1,1,61,42,38,154,5,0,16,0,3,19,63,88,11,1,1,1,0,2,1,1.0,0,Cloud Storage Client Library for Node.js
@hoodie/admin,1,1,1,1,1,1,4,0,0,0,0,2,17,1,3,236,604,1392,2957,7650,1,0,1,0,8,6,24,80,29,0,7,0,0,0,1,6,1,1,1,1,0,3,2,0.0,0,Hoodie Admin core module
@hoodie/client,1,1,1,1,1,1,4,8,0,0,0,6,30,0,85,158,610,1465,3228,9468,2,0,1,0,32,22,43,168,17,0,26,0,2,8,11,28,2,1,1,1,0,4,0,1.0,0,Client API for the Hoodie server
@hoodie/server,1,1,1,1,1,1,4,14,0,0,0,0,24,0,84,152,560,1407,3089,8276,1,0,1,0,238,54,53,543,7,0,38,0,0,0,1,3,2,1,1,1,0,4,0,1.0,5,Hapi plugin for Hoodie’s server core module
@ionic-native/barcode-scanner,1,1,1,0,1,6,4,0,6,8,16,35,81,0,1690,10487,45329,91240,155834,247023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0.0,0,Ionic Native - Native plugins for ionic apps
@jupyterlab/services,1,1,1,1,1,8,4,8,2,8,13,29,57,1,1609,9420,40561,115123,212003,334185,46,0,1,0,4702,523,269,4157,623,0,100,21,96,566,1240,4019,2,1,1,1,1,2,1,0.0,2,Client APIs for the Jupyter services REST APIs
@koa/cors,1,1,1,1,1,9,4,0,0,1,3,3,3,1,1416,8183,30758,70891,90514,90514,26,2,1,0,235,27,17,46,12,0,8,0,0,0,4,4,3,1,1,1,1,5,1,1.0,0,Cross-Origin Resource Sharing(CORS) for koa
@ladjs/time-require,1,0,1,1,1,3,4,4,0,3,3,3,3,0,1562,25448,94867,130434,130434,130434,1,0,1,0,0,0,1,0,0,1,2,0,0,3,3,3,0,1,1,1,1,0,1,0.0,3,Displays the execution time for Node.js modules loading; inspired by @sindresorhus 'time-grunt'
@mapbox/gl-matrix,1,0,1,0,0,217,4,0,0,0,0,0,2,0,6952,46635,187157,415343,768166,1016759,17,0,1,1,12,5,82,1,0,1,38,0,0,0,0,0,0,1,1,1,0,1,1,0.0,0,Javascript Matrix and Vector library for High Performance WebGL apps (Mapbox custom build)
@mapbox/mapbox-gl-supported,1,1,1,0,1,217,4,0,0,0,2,2,2,0,2705,17954,58319,94273,94398,94398,4,0,1,0,13,3,81,15,2,0,4,0,0,0,2,3,2,1,1,0,0,0,1,0.0,0,A library to determine if a browser supports Mapbox GL JS
@mapbox/point-geometry,1,0,1,1,1,217,4,0,0,0,0,2,2,0,6043,37744,140897,304088,472012,534885,22,1,1,0,13,9,85,11,3,0,4,0,0,0,0,2,1,1,1,1,1,2,0,1.0,0,a point geometry with transforms
@mapbox/shelf-pack,1,1,1,1,1,217,4,0,0,0,0,1,3,0,6950,46610,187222,415318,767454,986037,17,0,1,0,42,11,77,90,7,0,4,0,0,0,1,6,2,1,1,1,1,2,1,1.0,0,A 2D rectangular bin packing data structure that uses the Shelf Best Height Fit heuristic
@mapbox/tiny-sdf,1,1,1,1,1,217,4,0,0,0,0,1,3,0,6644,44344,177173,384724,683679,775894,12,0,1,1,57,8,81,9,2,0,4,0,0,0,2,10,1,1,1,0,0,0,1,0.0,0,Browser-side SDF font generator
@mapbox/unitbezier,1,0,1,1,1,217,4,0,0,0,0,0,2,0,7006,46939,188184,416874,770082,1012908,18,0,1,0,6,3,84,1,0,0,2,0,0,0,0,1,1,1,1,1,0,1,0,0.0,0,unit bezier curve interpolation
@mapbox/vector-tile,1,1,1,0,1,217,4,1,1,1,1,2,7,0,4820,31908,116414,256421,424812,488853,24,0,1,0,147,46,98,63,8,0,14,0,3,3,3,6,1,1,1,1,1,2,1,0.98,0,Parses vector tiles
@mapbox/whoots-js,1,1,1,1,1,217,4,0,0,0,0,0,2,0,6898,46273,185444,410569,757379,971472,16,0,1,0,11,4,32,73,1,0,4,0,0,0,1,3,3,1,1,1,1,1,1,1.0,0,Request tiles from WMS servers that support EPSG:3857
@mojule/dom-utils,1,0,1,0,1,2,4,2,0,3,13,22,22,0,0,8,56,409,4175,4621,6,0,1,0,0,0,1,1,0,0,2,0,0,4,42,142,0,1,1,1,0,0,0,0.0,0,DOM traversal/query/manipulation functions
@nteract/commutable,1,1,1,1,1,9,4,3,1,9,11,20,28,0,719,6049,28782,78026,109804,152648,5,0,1,1,2355,247,123,2676,266,0,75,29,272,833,1134,1522,1,1,1,1,0,1,1,0.61,0,library for immutable notebook operations
@nteract/display-area,1,1,1,1,1,9,4,2,1,9,13,30,36,0,701,5887,28089,89668,166369,241047,5,0,1,1,2355,247,123,2676,266,0,75,29,272,833,1134,1522,1,1,1,1,0,1,1,0.61,0,Display area for nteract outputs
@nteract/transform-plotly,1,1,1,0,1,9,4,2,1,6,8,17,25,0,957,8671,26308,75972,156019,243561,2,0,1,1,2355,247,123,2676,266,0,75,29,272,833,1134,1522,1,1,1,1,0,1,1,0.61,0,Plotly Transform
@nteract/transform-vega,1,1,1,0,1,9,4,4,0,6,8,19,27,0,668,5353,25490,74332,148188,150007,3,0,1,1,2355,247,123,2676,266,0,75,29,272,833,1134,1522,1,1,1,1,0,1,1,0.61,1,Vega Transform
@nteract/transforms,1,1,1,1,1,9,4,6,1,8,12,28,36,0,704,5890,28137,86067,168293,267278,8,0,1,1,2355,247,123,2676,266,0,75,29,272,833,1134,1522,1,1,1,1,0,1,1,0.61,0,Common transforms for Jupyter
@nuxtjs/youch,1,1,1,1,1,4,3,3,0,7,7,13,13,0,0,12417,58474,142431,217350,239776,11,0,1,0,17,0,3,2,1,0,3,0,0,15,15,42,0,1,1,1,1,4,1,0.0,0,Pretty error reporting for Node.js 🚀 (Modified for Nuxt.js & SSR Bundles)
@onsenui/custom-elements,1,1,1,0,1,3,4,0,0,0,0,3,3,0,61,1129,4636,12035,21570,27406,1,0,1,0,0,0,10,0,0,1,11,0,0,0,0,7,0,1,1,1,0,1,0,0.0,0,HTML Custom Elements Polyfill
@onsenui/fastclick,1,1,1,1,1,4,4,0,2,4,4,4,4,0,0,659,4141,6975,6975,6975,1,0,1,0,0,2,13,0,0,1,49,0,0,5,5,5,0,1,1,1,0,0,0,0.0,0,Polyfill to remove click delays on browsers with touch UIs.
@parse/fs-files-adapter,1,1,1,1,1,2,1,0,0,0,3,3,3,0,0,3942,19437,55039,67812,67812,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0.0,0,File system adapter for parse-server
@parse/push-adapter,1,1,1,1,1,2,4,4,0,2,5,5,5,1,663,4781,20041,55477,67644,67644,4,0,1,0,55,64,15,108,23,0,15,0,0,2,10,21,5,1,1,1,1,3,0,1.0,0,Base parse-server-push-adapter
@parse/s3-files-adapter,1,1,1,1,1,2,4,1,0,0,4,4,4,0,0,4899,25020,72654,87223,87223,3,0,1,0,48,43,11,57,8,0,14,0,0,0,4,13,3,1,1,1,1,2,1,0.93,0,AWS S3 adapter for parse-server
@parse/simple-mailgun-adapter,1,1,1,1,1,2,4,1,0,0,3,3,3,0,0,3940,19433,55017,67771,67771,4,0,1,0,66,92,20,24,13,0,4,0,0,0,4,5,0,1,1,0,0,0,0,0.0,1,Used to send Parse Server password reset and email verification emails though Mailgun
@plotly/d3-sankey,1,0,1,1,1,1,4,3,0,0,0,3,3,0,1409,10909,46869,115449,196812,261840,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Visualize flow between nodes in a directed acyclic network.
@protobufjs/aspromise,1,1,1,0,1,2,4,0,0,1,1,2,9,0,20558,108646,440799,1160309,2030158,2268987,8,0,1,1,4060,590,158,996,122,0,28,1,5,12,36,204,1,1,1,1,1,1,0,0.58,0,Returns a promise from a node-style callback function.
@protobufjs/base64,1,1,1,0,1,2,4,0,0,0,0,2,11,0,21129,146584,484708,1201604,2126387,2370611,8,0,1,1,4084,595,160,997,122,0,28,0,4,12,35,200,1,1,1,1,1,1,0,0.58,0,A minimal base64 implementation for number arrays.
@protobufjs/codegen,1,1,1,0,1,2,4,0,0,0,0,6,16,0,21213,147047,486386,1206450,2137804,2383161,8,0,1,1,4084,595,160,997,122,0,28,0,4,12,35,200,1,1,1,1,1,1,0,0.58,0,A minimalistic code generation utility.
@protobufjs/eventemitter,1,1,1,0,1,2,4,0,0,0,0,0,9,0,30088,122046,454303,1183317,2058453,2294103,8,0,1,1,4067,591,158,997,122,0,28,1,5,12,35,204,1,1,1,1,1,1,0,0.58,0,A minimal event emitter.
@protobufjs/fetch,1,1,1,0,1,2,4,2,0,0,0,0,8,0,11273,126008,448402,1188485,2068044,2304225,7,0,1,1,4067,593,158,997,122,0,28,1,5,12,35,200,1,1,1,1,1,1,0,0.58,0,Fetches the contents of a file accross node and browsers.
@protobufjs/float,1,1,1,0,1,2,4,0,0,0,0,5,5,0,15991,136490,463163,1151301,2066020,2270370,5,0,1,1,4088,596,160,998,123,0,28,0,4,12,35,200,1,1,1,1,1,1,0,0.58,0,Reads / writes floats / doubles from / to buffers in both modern and ancient browsers.
@protobufjs/inquire,1,1,1,0,1,2,4,0,0,0,0,0,6,0,30091,122038,454234,1183140,2057753,2293193,8,0,1,1,4067,591,158,997,122,0,28,1,5,12,35,204,1,1,1,1,1,1,0,0.58,0,Requires a module only if available and hides the require call from bundlers.
@protobufjs/path,1,1,1,0,1,2,4,0,0,0,0,0,8,0,20554,108588,440525,1159679,2028453,2265674,7,0,1,1,4061,590,158,996,122,0,28,1,5,12,36,204,1,1,1,1,1,1,0,0.58,0,"A minimal path module to resolve Unix, Windows and URL paths alike."
@protobufjs/pool,1,1,1,0,1,2,4,0,0,0,0,0,9,0,30068,121993,454166,1183112,2058222,2293714,7,0,1,1,4067,591,158,997,122,0,28,1,5,12,35,204,1,1,1,1,1,1,0,0.58,0,A general purpose buffer pool.
@protobufjs/utf8,1,1,1,0,1,2,4,0,0,0,0,0,11,0,30064,122030,454218,1166196,2041536,2277502,7,0,1,1,4067,591,158,997,122,0,28,1,5,12,35,204,1,1,1,1,1,1,0,0.58,0,A minimal UTF8 implementation for number arrays.
@reactioncommerce/authorize-net,1,1,1,1,0,6,4,5,1,1,1,1,4,0,3,141,749,5259,18580,36887,0,0,1,1,12,25,10,24,4,0,9,0,0,6,6,6,0,1,1,1,0,1,0,0.0,1,Node.js SDK for Authorize.net paymenet gateway.
@reactioncommerce/nodemailer,1,1,1,1,1,6,4,0,1,1,1,7,7,0,83,929,3936,10181,23670,33998,0,0,1,0,2,1,4,0,0,0,77,0,0,0,0,24,1,1,1,1,1,0,2,0.0,0,Easy e-mail sending from your Node.js applications
@rokt33r/markdown-it-math,1,1,1,1,0,1,4,0,0,0,0,0,4,0,73,278,943,2940,7146,12433,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,2,1,0.0,0,Markdown-it-math w/o optional dep
@rokt33r/season,1,1,1,1,0,1,4,3,0,0,0,0,4,0,71,277,934,2918,7099,12327,0,0,1,0,76,10,16,23,4,0,11,0,0,0,2,8,0,1,1,1,0,1,0,0.0,3,CSON utilities
@sailshq/lodash,1,1,1,1,0,4,4,0,0,0,1,1,4,0,4028,23026,97314,253816,524648,940825,52,0,1,1,1,1,2,0,0,1,2,0,0,0,0,0,0,1,1,1,0,1,2,0.0,0,A fork of Lodash 3.10.x with ongoing maintenance from the Sails core team.
@serverless/fdk,1,0,1,0,1,7,4,3,0,3,3,14,14,0,0,35275,173569,423595,720694,800782,4,2,1,0,72,4,9,82,0,0,6,0,3,8,13,139,1,1,1,1,0,1,1,0.0,1,Node.js library to improve developer experience developing Serverless applications.
@shoutem/animation,1,0,1,1,1,4,4,2,2,3,4,11,28,0,675,4147,18200,52936,99548,227538,7,0,1,0,198,43,32,25,0,0,9,0,0,2,3,20,0,1,1,1,0,0,2,0.0,1,Shoutem Animation Library
