package_name,description,url,year_of_release,justification,pros,cons,query,who
fhir-converter,fhir-converter,null,null,[],[],[],convert data formats,aidt
insightly-to-vcard,insightly-to-vcard,null,null,[],[],[],convert data formats,aidt
pdf-extract,pdf-extract,null,null,[],[],[],convert data formats,aidt
sentiment,Seneca transport,null,null,[],[],[],sentiment analysis,aidt
personify,personify,null,null,[],[],[],sentiment analysis,aidt
afinn-111,afinn-111,null,null,[],[],[],sentiment analysis,aidt
sentiment-swedish,sentiment-swedish,null,null,[],[],[],sentiment analysis,aidt
emoji-emotion,emoji-emotion,null,null,[],[],[],sentiment analysis,aidt
afinn-165,afinn-165,null,null,[],[],[],sentiment analysis,aidt
sentiment-v2,sentiment-v2,null,null,[],[],[],sentiment analysis,aidt
afinn-96,afinn-96,null,null,[],[],[],sentiment analysis,aidt
empath-sentiment-analysis,empath-sentiment-analysis,null,null,[],[],[],sentiment analysis,aidt
sentiment-ptbr,sentiment-ptbr,null,null,[],[],[],sentiment analysis,aidt
bell,A bcrypt library for NodeJS.,null,null,[],[],[],third party authentication,aidt
aurelia-authentication,"JavaScript implementation of the ""accept"" attribute for HTML5 <input type=""file"">",null,null,[],[],[],third party authentication,aidt
fireauth,Walk up ancester's dir up to root,null,null,[],[],[],third party authentication,aidt
plug-auth-client,Apple's property list parser/builder for Node.js and browsers,null,null,[],[],[],third party authentication,aidt
retsly-js-auth,Retry a failed promise,null,null,[],[],[],third party authentication,aidt
bell-oidc,bell-oidc,null,null,[],[],[],third party authentication,aidt
plug-auth-server,plug-auth-server,null,null,[],[],[],third party authentication,aidt
ember-cli-cordova-auth,ember-cli-cordova-auth,null,null,[],[],[],third party authentication,aidt
protoculture-hapi,protoculture-hapi,null,null,[],[],[],third party authentication,aidt
travelogue-resurrected,travelogue-resurrected,null,null,[],[],[],third party authentication,aidt
vui-ad-hoc-alexa-recognizer,"Provides natural language understanding/processing to enable easy implementation of chat bots and voice services. High performance run time in only 2 lines of code - 'require' to include it, and the call to process the text. These can run anywhere Node.js",null,null,[],[],[],convert text to speech,aidt
aws-tts,Asynchronous bootstrapping of Node applications,null,null,[],[],[],convert text to speech,aidt
node-red-contrib-voicerss-tts,node-red-contrib-voicerss-tts,null,null,[],[],[],convert text to speech,aidt
react-speech-recognition,react-speech-recognition,null,null,[],[],[],convert text to speech,aidt
iobroker.sayit,iobroker.sayit,null,null,[],[],[],convert text to speech,aidt
festival,festival,null,null,[],[],[],convert text to speech,aidt
bingspeechrecognition-api,bingspeechrecognition-api,null,null,[],[],[],convert text to speech,aidt
entongue,entongue,null,null,[],[],[],translate english to spanish,aidt
card-validator,Lightweight logger with a simple pass-through configuration for use with fancier logging libraries,null,null,[],[],[],credit card validation,aidt
credit-card,node style hmacs in the browser,null,null,[],[],[],credit card validation,aidt
creditcard.js,Polyfill for the proposed React context API,null,null,[],[],[],credit card validation,aidt
credit-card-validation,Legacy API for creating React components.,null,null,[],[],[],credit card validation,aidt
luhn-alg,luhn-alg,null,null,[],[],[],credit card validation,aidt
luhn,luhn,null,null,[],[],[],credit card validation,aidt
card-js,card-js,null,null,[],[],[],credit card validation,aidt
react-card-input,react-card-input,null,null,[],[],[],credit card validation,aidt
mod10,mod10,null,null,[],[],[],credit card validation,aidt
joi-creditcard-extension,joi-creditcard-extension,null,null,[],[],[],credit card validation,aidt
webtorrent-health,Get health info about a webtorrent file or magnet link,null,null,[],[],[],health tracker,aidt
torrent-tracker-health,Get health info about a torrent file or magnet link,null,null,[],[],[],health tracker,aidt
quantified,An advanced barcode-scanner written in JavaScript,null,null,[],[],[],health tracker,aidt
torrent-tracker-health-ce,Get health info about a torrent file or magnet link,null,null,[],[],[],health tracker,aidt
carotte-dashboard,Captcha generator,null,null,[],[],[],health tracker,aidt
lifetracker,lifetracker,null,null,[],[],[],health tracker,aidt
windows.devices.pointofservice,windows.devices.pointofservice,null,null,[],[],[],health tracker,aidt
googleclientlogin,Google Translate API for Node.js,null,null,[],[],[],captcha authentication,aidt
homosapien,General purpose node utilities,null,null,[],[],[],captcha authentication,aidt
jacket-captcha,Minimal zero-dependency utilities for using JavaScript Iterables in all environments.,null,null,[],[],[],captcha authentication,aidt
franc,A rational number library,null,null,[],[],[],detect text language,aidt
retext-sentiment,a through stream that starts paused and resumes on the next tick,null,null,[],[],[],detect text language,aidt
detect-lang,Add HTML template parsing to Derby,null,null,[],[],[],detect text language,aidt
tika,Apache Tika Python library,null,null,[],[],[],detect text language,aidt
franc-min,franc-min,null,null,[],[],[],detect text language,aidt
franc-all,franc-all,null,null,[],[],[],detect text language,aidt
retext-language,retext-language,null,null,[],[],[],detect text language,aidt
franc-cli,franc-cli,null,null,[],[],[],detect text language,aidt
polarity,polarity,null,null,[],[],[],detect text language,aidt
speak-tts,speak-tts,null,null,[],[],[],detect text language,aidt
thf-mobile-cli,A tool for creating and developing THF mobile apps.,null,null,[],[],[],mobile app framework,aidt
samson.js,samson.js,null,null,[],[],[],mobile app framework,aidt
ionic-logging-service,ionic-logging-service,null,null,[],[],[],mobile app framework,aidt
librestapi,librestapi,null,null,[],[],[],mobile app framework,aidt
islider.js,islider.js,null,null,[],[],[],mobile app framework,aidt
generator-adaptiveme,generator-adaptiveme,null,null,[],[],[],mobile app framework,aidt
generator-angular-pro,generator-angular-pro,null,null,[],[],[],mobile app framework,aidt
generator-m-ionic,generator-m-ionic,null,null,[],[],[],mobile app framework,aidt
sabertooth,sabertooth,null,null,[],[],[],mobile app framework,aidt
catjs,catjs,null,null,[],[],[],mobile app framework,aidt
dom101,render domhandler DOM nodes to a string,null,null,[],[],[],DOM manipulation utils,aidt
realdom,mixin to add one-time ready event callback handler,null,null,[],[],[],DOM manipulation utils,aidt
tsdom,tsdom,null,null,[],[],[],DOM manipulation utils,aidt
ng-html-util,ng-html-util,null,null,[],[],[],DOM manipulation utils,aidt
tagbuildr,tagbuildr,null,null,[],[],[],DOM manipulation utils,aidt
react-classset,react-classset,null,null,[],[],[],DOM manipulation utils,aidt
domanip,domanip,null,null,[],[],[],DOM manipulation utils,aidt
css-util,css-util,null,null,[],[],[],DOM manipulation utils,aidt
elementsJS,elementsJS,null,null,[],[],[],DOM manipulation utils,aidt
tnt-dom,tnt-dom,null,null,[],[],[],DOM manipulation utils,aidt
es6-math,Development-only error handler middleware,null,null,[],[],[],mathematical functions,aidt
random-pro,random-pro,null,null,[],[],[],mathematical functions,aidt
mathsass,mathsass,null,null,[],[],[],mathematical functions,aidt
coffeelint-config-groupon,coffeelint-config-groupon,null,null,[],[],[],mathematical functions,aidt
keen-query,keen-query,null,null,[],[],[],mathematical functions,aidt
graphy-js,graphy-js,null,null,[],[],[],mathematical functions,aidt
eslint-config-groupon-react,eslint-config-groupon-react,null,null,[],[],[],mathematical functions,aidt
insect,insect,null,null,[],[],[],mathematical functions,aidt
simple-math,simple-math,null,null,[],[],[],mathematical functions,aidt
rational-number,rational-number,null,null,[],[],[],mathematical functions,aidt
github-scraper,Github builds/checks for CI,null,null,[],[],[],scraper,aidt
cheerio,Simple HTML5 charts using the canvas element.,null,null,[],[],[],scraper,aidt
thepiratebay,thepiratebay,null,null,[],[],[],scraper,aidt
onroto-standings-scraper,onroto-standings-scraper,null,null,[],[],[],scraper,aidt
meta-scraper,meta-scraper,null,null,[],[],[],scraper,aidt
html-miner,html-miner,null,null,[],[],[],scraper,aidt
hquery.php,hquery.php,null,null,[],[],[],scraper,aidt
htmlmetaparser,htmlmetaparser,null,null,[],[],[],scraper,aidt
linkscrape,linkscrape,null,null,[],[],[],scraper,aidt
cheerio-advanced-selectors,cheerio-advanced-selectors,null,null,[],[],[],scraper,aidt
