package_name,description,url,year_of_release,justification,pros,cons,query,who
svg-captcha,generate svg captcha in node.js or express.js,null,null,"['community', 'functionality', 'full documentation']",[],[],captcha authentication,humans
captchagen,a canonical json implementation,null,null,['full documentation'],[],[],captcha authentication,humans
captcha,"A smaller version of caniuse-db, with only the essentials!",null,null,['full documentation'],[],[],captcha authentication,humans
franc,A rational number library,null,null,"['available languages', 'performance']",[],[],detect text language,humans
cld,regular expression for matching CJK text,null,null,['reliability'],[],[],detect text language,humans
tika,Apache Tika Python library,null,null,"['reliability', 'performance']",[],[],detect text language,humans
languagedetect,Either data type for lambdash,null,null,['downloads'],[],[],detect text language,humans
guesslanguage.js,guesslanguage.js,null,null,[],[],[],detect text language,humans
ranking,Strategies for assigning ranks,null,null,"['quality', 'usability', 'better overall']",[],[],rank aggregation algorithms,humans
elo-ranking,HTML5 HTMLElement.dataset ponyfill,null,null,['popularity'],[],[],rank aggregation algorithms,humans
hot-ranking,simpler and more effective captcha: human cognition beats visual perception,null,null,"['quality', 'popularity']",[],[],rank aggregation algorithms,humans
ranked,Rank objects by a key,null,null,"['popularity', 'simplicity']",[],[],rank aggregation algorithms,humans
poker-ranking,Universal client and server router.,null,null,['maintenance'],[],[],rank aggregation algorithms,humans
onsen ui,onsen ui,null,null,[],[],[],mobile app framework,humans
zview-mobile,"Mobile UI Components, based on Vue.js and ionic CSS.",null,null,[],[],[],mobile app framework,humans
thf-mobile-cli,A tool for creating and developing THF mobile apps.,null,null,[],[],[],mobile app framework,humans
swiper,Most modern mobile touch slider and framework with hardware accelerated transitions,null,null,"['modern', 'popularity']",[],[],mobile app framework,humans
ionic,A small selection of shared styles used in the inuitcss framework,null,null,"['maintenance', 'popularity', 'resources']",[],[],mobile app framework,humans
dom101,render domhandler DOM nodes to a string,null,null,['quality'],[],[],DOM manipulation utils,humans
realdom,mixin to add one-time ready event callback handler,null,null,"['performance', 'size']",[],[],DOM manipulation utils,humans
sdf-query,The scrypt crypto library for NodeJS,null,null,"['usability', 'simplicity']",[],[],DOM manipulation utils,humans
mojule/dom-utils,mojule/dom-utils,null,null,[],[],[],DOM manipulation utils,humans
dom-util,scroll dom node into view automatically,null,null,['usability'],[],[],DOM manipulation utils,humans
metrics-grafics,metrics-grafics,null,null,[],[],[],lightweight 3D graphic library,humans
axis3d,"AWS signing. Originally pulled from LearnBoost/knox, maintained as vendor in request, now a standalone module.",null,null,['size'],[],[],lightweight 3D graphic library,humans
d3-thermometer,A convenient alternative to XMLHttpRequest.,null,null,['size'],[],[],lightweight 3D graphic library,humans
d3-shape,Generate random numbers from various distributions.,null,null,['popularity'],[],[],lightweight 3D graphic library,humans
draco3d,Expand environment variables using dotenv,null,null,['popularity'],[],[],lightweight 3D graphic library,humans
mathjs,API's for calling MathJax from node.js,null,null,[],[],[],mathematical functions,humans
gamma,"small, standalone fuzzy search / fuzzy filter. browser or node",null,null,['downloads'],[],[],mathematical functions,humans
nearest-periodic-value,Add singleton dimensions to an ndarray,null,null,,[],[],mathematical functions,humans
contained-periodic-values,Emulate console for all the browsers,null,null,,[],[],mathematical functions,humans
gamma,"small, standalone fuzzy search / fuzzy filter. browser or node",null,null,['downloads'],[],[],mathematical functions,humans
cheerio,Simple HTML5 charts using the canvas element.,null,null,,[],[],scraper,humans
google-play-scraper,Google Maps Geolocation API for Node.js (unofficial),null,null,[],[],[],scraper,humans
open-graph-scraper,Open files in your editor at a specific line and column,null,null,['downloads'],[],[],scraper,humans
website-scraper,"Download website to a local directory (including all css, images, js, etc.)",null,null,"['functionality', 'full documentation', 'community']",[],[],scraper,humans
scraper,A Node.js scraper for humans.,null,null,"['quality', 'functionality', 'full documentation', 'maintenance']",[],[],scraper,humans
